fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
12.146430460325407,14.414819214431647,13.168783955658629,14.28931604234556,14.962908906739395,10.792090196083864,14.53823082522643,13.059978978348598,13.960900076715685,14.873158327891941,14.303967738029012,4.0
13.339268091995562,14.284208166886701,13.296141627529517,14.001878951768456,15.520926361292783,12.926710990287763,14.556906071072099,13.896469213275864,17.225549492312126,16.109269821674342,15.909213494109382,2.0
14.00889414538435,13.075535012418433,14.793787850920081,12.820539770281318,14.664406953792424,13.834306929721894,14.280820037143029,13.743514028009097,13.134552100817302,15.804463130222475,13.98171726783914,4.0
16.14251718149269,17.26198629464619,18.601869720442004,16.919441933232118,19.432893236268868,15.214267983129453,18.45349219486824,17.0778277124365,15.438287350709873,20.39959505871898,16.959198344413092,4.0
13.777513683471007,13.651287017227531,15.218664517526967,13.484966273575905,14.359466495750247,12.690549878301768,14.149805162214646,14.318235050280206,11.586620429157263,14.56741746327156,13.170242231532441,4.0
13.859069170301138,13.115106819743852,14.973995082107702,13.527555620605604,16.731251794947077,12.576585056358331,13.140717254731394,14.40895979359315,14.656757817164397,15.740593600966408,14.538512427982836,4.0
13.465240033588868,14.634957816868985,14.06960934720722,13.69364847310255,14.078592872902734,11.493814811822926,13.223215629286202,13.901413971167244,13.670034419437071,14.07587768888982,12.930935704286963,4.0
15.124559708150095,14.424201104317762,14.856452694815115,14.850008763308812,16.152115345499045,13.515129374475405,14.461065378541932,15.515919560006365,16.114045989375764,16.26068892727977,14.872886831381475,4.0
14.793782958851365,13.165307078945336,14.514713218932902,13.69766694154983,14.597611885035409,13.630505804383533,13.430471661737633,14.82120770959124,14.51219555335229,14.243825113410065,13.810157128249626,1.0
14.866426037821382,13.618186227865094,14.529136904956271,13.900170407098026,13.35596233459037,12.098117993173512,13.238676472476065,15.275034544807069,13.718068425460524,13.4333485296179,12.09582594336145,4.0
13.825420515092459,14.279061881493492,15.195981420196347,14.883889060627958,17.185674574177845,13.317337022242828,16.504261394052858,13.787978513696043,14.552968467807816,17.82522073669504,15.706174527859721,3.0
11.421719827685134,13.00051918998884,12.78656989907376,13.218871129638083,14.559533415589861,11.373522597356056,13.531504365273682,11.802894195651525,13.283853250832024,14.280421542892295,13.990962896946986,4.0
14.495505882585286,13.784266686958198,13.884052156398036,14.482402624893021,15.787674475956347,12.6821871033243,14.328665376436039,14.188721531890126,16.658369570167526,15.561014668733154,15.034689823652908,4.0
12.738129511468376,12.90791501657342,14.368687219401,13.593270390442388,15.275599518537213,11.131347494551218,13.055273905723105,12.483876049235759,11.656023801374037,14.665841564584978,12.567225056200998,3.0
13.360370884415584,14.051599353954833,15.485865817827202,13.528859751445072,13.783156304959343,13.546520072656138,15.174463115333124,13.059071836028926,11.847999221423745,16.007035201455412,13.646123299041864,3.0
12.905732012462163,14.379768595313193,13.490071464284304,13.610338832278,13.288009963915941,11.462688283512081,14.453950752549876,13.943976054698652,14.095079611999289,13.688274561644246,13.607791021073231,4.0
12.456399655010852,13.68964459364732,13.263348090515988,13.878112246977636,15.87589133708703,12.93724499653169,14.035868192535787,12.572347634276843,15.451401346616612,16.327364313478707,15.014744949557258,3.0
13.130135598996196,14.559250006166216,14.07702010258045,14.086287811918782,13.179436769796082,10.443559774505117,14.275231713570312,14.002616983835773,10.753378410018042,13.228008831210394,11.648318862245127,4.0
12.200185752921218,13.532823039737929,13.47784919556616,13.411505332653112,14.021397084992316,10.63760309724629,13.444035088592413,13.390097422833538,13.741669298641453,13.465006416433955,13.448818607282613,4.0
14.18762009762636,12.337851892947432,15.40470872057702,12.572486286750955,13.36887770813555,13.140870780041645,13.872551889653662,14.411237851309343,11.602437329136704,14.017407917423776,12.471440498184839,4.0
13.49057943827588,13.13505098411082,13.835957189839782,12.90590089785967,12.947946437840118,12.380027595067112,12.742966557165694,13.83658553020782,13.088230069211264,12.784252774358295,12.555953361277107,1.0
16.13903035812502,14.59729475572716,16.732076425195487,14.107419581920484,15.136501612062494,14.334888253296334,14.652362090925234,16.914928844656327,13.722139728291562,15.543660504508082,13.23417198819368,4.0
11.977268916754344,13.680161864981136,12.690575251667392,13.585731426885546,13.652840262521241,11.767866635924207,14.79268467413053,11.664581409724928,12.862848020666794,14.246462444082942,14.227506370325509,1.0
13.187271561514171,13.031352965036998,13.003724262187461,13.51078807028836,12.447862896840045,12.29934774038834,15.000724158836347,12.024166370593264,12.513337693491328,13.416408673270379,13.314008573088408,1.0
13.510782556452211,13.513842760625726,13.389757847900103,13.60947002636917,13.784781665038741,12.356848905151057,13.321411591249428,14.412928670333528,15.02784468272746,13.25363725643358,14.1422166095975,4.0
13.849272831721041,14.137665060110969,15.254539534564731,14.007960860126234,13.826581268680325,11.735299574970753,13.648404091964421,14.21451782215844,11.11216263581005,13.603529999797956,11.98833916933507,4.0
